parameter,sparsity,top1,top5,loss
conv_3.model.3.conv_dw.conv.weight,0.7000000000000001,0.7404154,0,0
conv_3.model.3.conv_dw.conv.weight,0.8,0.7531495,0,0
conv_3.model.3.conv_dw.conv.weight,0.9,0.7280899,0,0
conv_3.model.3.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.3.project.conv.weight,0.1,0.7022131,0,0
conv_3.model.3.project.conv.weight,0.2,0.6993531,0,0
conv_3.model.3.project.conv.weight,0.30000000000000004,0.7051413,0,0
conv_3.model.3.project.conv.weight,0.4,0.7156282,0,0
conv_3.model.3.project.conv.weight,0.5,0.7062308,0,0
conv_3.model.3.project.conv.weight,0.6000000000000001,0.6954716,0,0
conv_3.model.3.project.conv.weight,0.7000000000000001,0.674634,0,0
conv_3.model.3.project.conv.weight,0.8,0.6742254,0,0
conv_3.model.3.project.conv.weight,0.9,0.6747702,0,0
conv_3.model.4.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.4.conv.conv.weight,0.1,0.721144,0,0
conv_3.model.4.conv.conv.weight,0.2,0.7209397,0,0
conv_3.model.4.conv.conv.weight,0.30000000000000004,0.7263194,0,0
conv_3.model.4.conv.conv.weight,0.4,0.7125638,0,0
conv_3.model.4.conv.conv.weight,0.5,0.7109295,0,0
conv_3.model.4.conv.conv.weight,0.6000000000000001,0.7048689,0,0
conv_3.model.4.conv.conv.weight,0.7000000000000001,0.7164454,0,0
conv_3.model.4.conv.conv.weight,0.8,0.6870957,0,0
conv_3.model.4.conv.conv.weight,0.9,0.6724549,0,0
conv_3.model.4.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.4.conv_dw.conv.weight,0.1,0.6917943,0,0
conv_3.model.4.conv_dw.conv.weight,0.2,0.704937,0,0
conv_3.model.4.conv_dw.conv.weight,0.30000000000000004,0.7075247,0,0
conv_3.model.4.conv_dw.conv.weight,0.4,0.7230507,0,0
conv_3.model.4.conv_dw.conv.weight,0.5,0.713381,0,0
conv_3.model.4.conv_dw.conv.weight,0.6000000000000001,0.7188287,0,0
conv_3.model.4.conv_dw.conv.weight,0.7000000000000001,0.7058904,0,0
conv_3.model.4.conv_dw.conv.weight,0.8,0.6946544,0,0
conv_3.model.4.conv_dw.conv.weight,0.9,0.6844399,0,0
conv_3.model.4.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.4.project.conv.weight,0.1,0.7180116,0,0
conv_3.model.4.project.conv.weight,0.2,0.723936,0,0
conv_3.model.4.project.conv.weight,0.30000000000000004,0.7215526,0,0
conv_3.model.4.project.conv.weight,0.4,0.7137896,0,0
conv_3.model.4.project.conv.weight,0.5,0.7168539,0,0
conv_3.model.4.project.conv.weight,0.6000000000000001,0.70984,0,0
conv_3.model.4.project.conv.weight,0.7000000000000001,0.7199183,0,0
conv_3.model.4.project.conv.weight,0.8,0.7135172,0,0
conv_3.model.4.project.conv.weight,0.9,0.6949949,0,0
conv_3.model.5.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.5.conv.conv.weight,0.1,0.7212802,0,0
conv_3.model.5.conv.conv.weight,0.2,0.7212802,0,0
conv_3.model.5.conv.conv.weight,0.30000000000000004,0.7072523,0,0
conv_3.model.5.conv.conv.weight,0.4,0.7076609,0,0
conv_3.model.5.conv.conv.weight,0.5,0.7043241,0,0
conv_3.model.5.conv.conv.weight,0.6000000000000001,0.6926115,0,0
