parameter,sparsity,top1,top5,loss
layer3.0.conv1.weight,0.2,0.4251587,0,0
layer3.0.conv1.weight,0.30000000000000004,0.4503007,0,0
layer3.0.conv1.weight,0.4,0.3544103,0,0
layer3.0.conv1.weight,0.5,0.282576,0,0
layer3.0.conv1.weight,0.6000000000000001,0.180588,0,0
layer3.0.conv1.weight,0.7000000000000001,0.1449215,0,0
layer3.0.conv1.weight,0.8,0.0382559,0,0
layer3.0.conv1.weight,0.9,0.0020882,0,0
layer3.0.conv2.weight,0.0,0.8414634,0,0
layer3.0.conv2.weight,0.1,0.8188273,0,0
layer3.0.conv2.weight,0.2,0.7583528,0,0
layer3.0.conv2.weight,0.30000000000000004,0.6688106,0,0
layer3.0.conv2.weight,0.4,0.505847,0,0
layer3.0.conv2.weight,0.5,0.1820915,0,0
layer3.0.conv2.weight,0.6000000000000001,0.0036752,0,0
layer3.0.conv2.weight,0.7000000000000001,0.0020047,0,0
layer3.0.conv2.weight,0.8,0.0005847,0,0
layer3.0.conv2.weight,0.9,0.0020047,0,0
layer3.0.downsample.0.weight,0.0,0.8414634,0,0
layer3.0.downsample.0.weight,0.1,0.8419646,0,0
layer3.0.downsample.0.weight,0.2,0.8407952,0,0
layer3.0.downsample.0.weight,0.30000000000000004,0.8392082,0,0
layer3.0.downsample.0.weight,0.4,0.838874,0,0
layer3.0.downsample.0.weight,0.5,0.8404611,0,0
layer3.0.downsample.0.weight,0.6000000000000001,0.8332776,0,0
layer3.0.downsample.0.weight,0.7000000000000001,0.818159,0,0
layer3.0.downsample.0.weight,0.8,0.8245907,0,0
layer3.0.downsample.0.weight,0.9,0.8154861,0,0
layer3.1.conv1.weight,0.0,0.8414634,0,0
layer3.1.conv1.weight,0.1,0.6451721,0,0
layer3.1.conv1.weight,0.2,0.6572837,0,0
layer3.1.conv1.weight,0.30000000000000004,0.6245406,0,0
layer3.1.conv1.weight,0.4,0.6024891,0,0
layer3.1.conv1.weight,0.5,0.5475276,0,0
layer3.1.conv1.weight,0.6000000000000001,0.5005012,0,0
layer3.1.conv1.weight,0.7000000000000001,0.4278316,0,0
layer3.1.conv1.weight,0.8,0.327013,0,0
layer3.1.conv1.weight,0.9,0.1468426,0,0
